,,,content,NA,P,F,M,A
9.26E+17,biotweeps,53:28.0,"Atlantic Wolffish (Anarhichas lupus) is also sometime called sea wolf, sea devil, and (confusingly) sea cat or ocean catfish.",x,,,,
9.26E+17,ohellvis,52:12.0,"@JOHN__JUAN @RapUp bitch, no one! but I think they were real. just like I think Selena is a drama queen who liked pushing his buttons. that Lupus!!",,x,,,
9.26E+17,LupusCorner,52:08.0,"2 goals of topical treatments for cutaneous &amp; discoid #lupus:
Avoid progression of lesions
Help skin look its best

https://t.co/B7uVwrMCk1 https://t.co/OrmKjDLl9s",,,,x,
9.26E+17,DaIaiGoat,51:23.0,"@JaguarPaw90 @tellmecarey It's not heartless. Again, she's great and yes she's strong for battling lupus",,x,,,
9.26E+17,JaguarPaw90,48:54.0,"@tellmecarey @DaIaiGoat She almost died from lupus, how can you be so heartless?",,x,,,
9.26E+17,AngMontay,46:11.0,"@onlymeindc How will that help me?!?! No medical deductions. As a person that has lupus and student loans, this sucks",,x,,,
9.26E+17,LupusGreaterOH,45:17.0,"Come and enjoy a complimentary lunch while learning about lupus from 4 experts in the field!

Register here: https://t.co/HL1eEIqIGL https://t.co/QL8RpwdSI9",,,,,x
9.26E+17,Kirstie_Schultz,45:14.0,Selena Gomez Says She Pushed Herself Too Hard Despite Her Lupus Diagnosis https://t.co/3mscAOdz0X,,,,,x
9.26E+17,tellmecarey,44:34.0,@fetishforrep @arianasdx So did you ignore other celebs that have lupus spreading awareness? You do realize millions of other people have it right Just a thought,,x,,,
9.26E+17,selenurlegend,42:39.0,@thrxnduil Did Selena not battle lupus whilst releasing music? Exactly! Ctfu,,x,,,
9.26E+17,swiaks,42:22.0,I love seeing my lupus sister selena thriving,,x,,,
9.26E+17,bizzlesurvous,38:01.0,@booblenalikesxo @moonlightbaabe @ofumaofuma @moonlightgae Lmao sis she wouldn’t have spread awareness on lupus if she didn’t have it herself. She only does something when it concerns her bye,,x,,,
9.26E+17,LegsforLupus,36:30.0,Spending time in nature can help reduce the stress associated with #Lupus https://t.co/N7t40JSdYU,,,,x,
9.26E+17,DIVINESUBURBIA,36:07.0,@narrysolos lupus looks great on you,,x,,,
9.26E+17,haylee_worley,35:12.0,"remember when Selena Gomez got Lupus, had a kidney transplant, went through severe depression and is still making music https://t.co/Y8PsQcYL4E",,,,,x
9.26E+17,rleerlee2424,34:24.0,@RobinRoberts Thankful my Lupus is calm today. Thankful for my families health,,x,,,
9.26E+17,sstrumello,33:36.0,Lupus Foundation of America Appoints Stevan Gibson as President https://t.co/D6xewlljKV via @PRNewswire,,,,,x
9.26E+17,Sophia_adrina,32:48.0,Having Lupus is THE most stressful thing.,,x,,,
9.26E+17,Nita3300,29:29.0,"Some of you don't care, but my family and my real friends will. In Honor of someone who fights lupus .... ⭐️💫⭐️❣❣❣
Copy and paste",,x,,,
9.26E+17,RealDarkOne_,28:55.0,She needs promo for her upcoming album of whispers and lupus https://t.co/miA8Is6hAO,,,,,x
9.26E+17,LupusNE,28:43.0,What to think about before trying a new #Lupus treatment. What do you consider? Let #LupusNE know what you think. https://t.co/o6BLW0b0kw,,,,,x
9.26E+17,Tyresell,28:27.0,@Lupus_Chat @LupusResearch Thank you so much for sharing!,,x,,,
9.26E+17,thebiggrog,27:44.0,"@GothicaBeauty @Botanygeek You could try it out, read here https://t.co/ARNKW6OP4h 

Also, Lupus specific and remission. https://t.co/2VpNpsWf99",,,,x,
9.26E+17,nikkijt25,24:14.0,"Some of you don't care, but my family and my real friends will. In Honor of someone who fights lupus .... ⭐️💫⭐️❣❣❣
Copy and paste",,x,,,
9.26E+17,Foxneigio,23:14.0,@Grisha_Lupus OH MY GOD ! BEST DOG,,x,,,
9.26E+17,DelilahVeronese,20:11.0,"2018 Walk to End Lupus Now and Wellness Way Orlando
Lupus Foundation of America's Florida Chapter
Saturday, April... https://t.co/AIGgzgG8iB",,,,,x
9.26E+17,sstrumello,19:50.0,Lupus Foundation of America and EMD Serono Launch The ALPHA Project to Improve Future of Lupus Care https://t.co/lHUWEnlRGa via @PRNewswire,,,,,x
9.26E+17,iamfireflies,19:25.0,ill continue reading lupus tales: through my eyes. i didnt know its way tooooooo long and i even read it in between working my cases,,x,,,
9.26E+17,aleksic,18:35.0,@Crackmacs @AnnaliseAK @JCMauthe Folks chose to go public with it. Respect their right to share her story of suffering with Lupus.,,x,,,
9.26E+17,sisterhaley,15:12.0,@corinnalawley i heard it’s because her album is like doing well? and she’s helped raise awareness for lupus but like 15%??? idk i could be SOO wrong??????,,x,,,
9.26E+17,Vexpera,12:35.0,@behnaz_buda But I did post a pic with the belt GODDESS LUPUS,,x,,,
9.26E+17,ssn3media,11:02.0,Ultraviolet Light therapy is extremely effective for #autoimmune conditions #lupus #Rheumatoidarthritis #UVB #IVTherapy https://t.co/p1ZFS4Jwk3,,,,x,
9.26E+17,socialstartnews,11:02.0,Ultraviolet Light therapy is extremely effective for #autoimmune conditions #lupus #Rheumatoidarthritis #UVB #IVTherapy https://t.co/OFIulCF0Ig,,,,x,
9.26E+17,microInfusions,11:02.0,Ultraviolet Light therapy is extremely effective for #autoimmune conditions #lupus #Rheumatoidarthritis #UVB #IVTherapy https://t.co/eikzTzBagW,,,,x,
9.26E+17,kthornton66,08:45.0,"@mattbc Your grandmothers, mothers, brothers with Lupus/Rheumatoid Arthritis/ etc are suffering and DYING so that big pharma can mark these meds",,x,,,
9.26E+17,_TheNamesLexie_,05:09.0,@moonlightgae They’re both amazing artist but one does one benefit concert while the other used her music to raise awareness and funds for lupus research,,x,,,
9.26E+17,swiftreps,05:05.0,@noflexmalik @renegadethot @jakehadfield12 @moonlightgae @ArianaGrande If you can actually comprehend you will learned Selena having lupus is not the reason she's woman of the year.,,x,,,
9.26E+17,jillianamy,05:00.0,ANYWAY LIKE I WAS SAYING. Selena Gomez suffers from Lupus and does tons of outreach for the disease and had a kidney transplant this year and still killed it with her career and ya'll are out here acting like she doesn't deserve an award,,x,,,
9.26E+17,LegsforLupus,04:35.0,It is estimated that 5 million people worldwide have a form of #Lupus 🌍🙏,,,,,x
9.26E+17,noflexmalik,01:58.0,@renegadethot @jakehadfield12 @swiftreps @moonlightgae @ArianaGrande vals claim was just weird thats like saying Selena didn't deserve credit for donating to lupus because she has it,,x,,,
9.26E+17,LUPUSUK,00:01.0,"LupusMinder is a new app developed to help people with #lupus. It is now available worldwide for free.
https://t.co/MOrC0uBX04",,,,,x
9.26E+17,nofigdeal,53:47.0,@ARTPOPGR @tellmecarey @blurrymathers @OOkennedy I read somewhere that she is “borderline positive” and hasn’t been diagnosed with lupus since it is so hard to diagnose. Fibro and lupus have very similar symptoms and can overlap.,,x,,,
9.26E+17,niall93almighty,53:29.0,"For the last bloody time here's all the reasons why Selena deserved to win bb woman of the year...not only did she raise $500,000 for lupus research alliance&amp;she did an interview on her&amp;Francias amazing&amp;lifechanging journey,help other sufferers understand symptoms&amp;be brave&amp;strong https://t.co/RTayBDXS8Z",,x,,,
9.26E+17,i_zekel,53:11.0,Lupus Foundation of America Appoints Stevan Gibson as President,,,,,x
9.26E+17,Tornato33,53:08.0,@Cutesy @SuziBean_ @SCP__1471 @Lupus_et_Vulpes We want ooones!! 💚,,x,,,
9.26E+17,0FMICEANDTAY,51:56.0,"my lupus is telling me that this is, in fact, me. https://t.co/Tq19wSZXjs",,x,,,
9.26E+17,4blackstockings,50:39.0,@94thAvenue @Lupus_Chat Thanks! I take the B12 pills but not the injections...I'm also anemic and have an elevated infection level...but just tired of being tired🌻,,,,x,
9.26E+17,FelineFeminine,48:35.0,"yep, I am, I have to take 2000 IUs of Vitamin D a day and I HAVE to use sunscreen bc I have lupus. https://t.co/4lbzEdVkR8",,,,x,
9.26E+17,hiddenninja9,48:02.0,"Some of you don't care, but my family and my real friends will. In Honor of someone who fights lupus or who... https://t.co/jodnzg7aBF",,x,,,
9.26E+17,youngmittromney,47:06.0,I have just been diagnosed with lupus #IAmHillary,,x,,,
9.26E+17,coffeeandpupils,46:18.0,It's a lupus. https://t.co/W0CxFpeYg8,,x,,,
9.26E+17,Aldringhambooks,45:09.0,Books about Lupus - see the Best Sellers at  https://t.co/UDl4Fhx14N,,,,,x
9.26E+17,RIPcrazh,43:42.0,@NicolasSizzle lupus or something idk,,x,,,
9.26E+17,goodtimes1618,43:41.0,@CakeladieDeAnna @Lupus_Chat I know it's very difficult and depressing at times but try to focus on positive things.,,x,,,
9.26E+17,jamtoll_,42:52.0,Selena also helped raise more money/awareness towards the research into Lupus than over the past however many years..BOTH ARE AMAZING WOMEN!,,x,,,
9.26E+17,diagnosisplease,41:33.0,Medicine Based Evidence for Individualized Decision Making: Case Study of Systemic Lupus Erythematosus. https://t.co/NvWdxTZThx,,,,x,
9.26E+17,Deetrini82,40:56.0,Lupus is kicking my ass today. Pain 😡😡,,x,,,
9.26E+17,_ShittHappens,40:07.0,@LuckyMeLuckyou_ @moonlightgae ..to create awareness for LUPUS among with other causes..,,x,,,
